system:time_start,MO,OW,FO
2000,162,,267.0
2001,203,,258.0
2002,211,,
2003,230,,
2004,165,,
2005,132,,
2006,186,245.0,276.0
2007,160,245.0,288.0
2008,134,240.0,282.0
2009,160,,
2010,133,,266.0
2011,154,229.0,
2012,194,254.0,277.0
2013,,,
2014,182,,263.0
2015,184,231.0,
2016,158,238.0,
2017,191,262.0,275.0
2018,155,,
2019,135,225.0,
2020,162,242.0,
2021,193,,
