system:time_start,MO,OW,FO
2000,163,217.0,272
2001,168,235.0,264
2002,166,227.0,265
2003,,,269
2004,161,247.0,277
2005,156,225.0,269
2006,,212.0,272
2007,160,218.0,
2008,156,209.0,265
2009,161,209.0,
2010,157,206.0,263
2011,,197.0,270
2012,157,216.0,277
2013,171,222.0,
2014,165,223.0,274
2015,164,209.0,266
2016,161,206.0,270
2017,,226.0,272
2018,156,226.0,256
2019,157,217.0,258
2020,160,205.0,262
2021,159,215.0,
