system:time_start,MO,OW,FO
2000,153,,291
2001,153,,287
2002,129,177,269
2003,160,174,
2004,,178,296
2005,153,169,269
2006,,166,294
2007,137,170,285
2008,136,173,279
2009,157,171,295
2010,140,170,298
2011,131,170,291
2012,157,170,294
2013,160,174,295
2014,154,169,
2015,122,165,269
2016,148,162,287
2017,154,168,282
2018,162,178,277
2019,,167,286
2020,139,,284
