system:time_start,MO,OW,FO
2000,156,247.0,281.0
2001,167,219.0,280.0
2002,158,202.0,290.0
2003,146,225.0,294.0
2004,154,223.0,
2005,143,228.0,276.0
2006,145,198.0,286.0
2007,158,,286.0
2008,162,217.0,295.0
2009,158,216.0,290.0
2010,158,191.0,297.0
2011,145,216.0,290.0
2012,150,211.0,
2013,147,206.0,266.0
2014,161,218.0,291.0
2015,147,219.0,292.0
2016,150,204.0,272.0
2017,136,196.0,278.0
2018,154,201.0,279.0
2019,153,204.0,294.0
2020,158,222.0,270.0
2021,157,224.0,297.0
