system:time_start,MO,OW,FO
2000,156,171,259
2001,,182,271
2002,152,169,234
2003,151,,278
2004,152,,256
2005,145,162,264
2006,,,
2007,153,,
2008,162,180,255
2009,153,174,263
2010,153,,
2011,157,,263
2012,153,,273
2013,,,280
2014,156,,262
2015,153,,274
2016,148,163,
2017,,,
2018,155,170,
2019,159,175,
2020,156,173,
2021,158,,273
