system:time_start,B2,B2_interpolate,B2_interpolate_phenology
2017-02-05,6400.0,6400.0,
2017-02-06,,6532.5,
2017-02-07,6665.0,6665.0,
2017-02-08,,6730.166666666667,
2017-02-09,,,
2017-02-10,6993.0,6993.0,
2017-02-11,,,
2017-02-12,,,
2017-02-13,,6730.166666666667,
2017-02-14,,6841.722222222223,
2017-02-15,,7060.666666666667,
2017-02-16,,7060.666666666667,
2017-02-17,,6802.0,
2017-02-18,,7185.990740740741,
2017-02-19,,7387.0,
2017-02-20,6802.0,6802.0,
2017-02-21,,6802.0,
2017-02-22,,7387.0,
2017-02-23,,7640.0,
2017-02-24,,7471.333333333333,
2017-02-25,,7471.333333333333,
2017-02-26,7972.0,7972.0,
2017-02-27,7640.0,7640.0,
2017-02-28,,7266.339743589743,
2017-03-01,,7471.333333333333,
2017-03-02,,6985.4375,
2017-03-03,,7471.333333333333,
2017-03-04,,5952.5,
2017-03-05,,7972.0,
2017-03-06,,6895.479166666666,
2017-03-07,,6895.479166666666,
2017-03-08,,6698.008547008547,
2017-03-09,4265.0,4265.0,
2017-03-10,8169.0,8169.0,
2017-03-11,8229.0,8229.0,
2017-03-12,8162.0,8162.0,
2017-03-13,,5275.0,
2017-03-14,5275.0,5275.0,
2017-03-15,,5275.0,
2017-03-16,,7147.36111111111,
2017-03-17,,7701.869444444444,
2017-03-18,,7430.166666666667,
2017-03-19,,7430.166666666667,
2017-03-20,,7701.869444444444,
2017-03-21,8513.0,8513.0,
2017-03-22,,8502.5,
2017-03-23,,8502.5,
2017-03-24,8492.0,8492.0,
2017-03-25,7710.0,7710.0,
2017-03-26,,8016.0,
2017-03-27,8322.0,8322.0,
2017-03-28,8518.0,8518.0,
2017-03-29,8646.0,8646.0,
2017-03-30,6562.0,6562.0,
2017-03-31,,8646.0,
2017-04-01,,6738.0,
2017-04-02,6914.0,6914.0,
2017-04-03,,6922.824675324675,
2017-04-04,,6318.142857142857,
2017-04-05,,6318.142857142857,
2017-04-06,,4465.0,
2017-04-07,,6556.928571428572,
2017-04-08,,7042.324675324675,
