system:time_start,MO,OW,FO
2000,153,196,293
2001,167,,289
2002,149,196,294
2003,164,,
2004,148,189,284
2005,142,196,284
2006,,,
2007,150,199,298
2008,137,203,
2009,151,,291
2010,135,194,284
2011,145,,301
2012,158,,301
2013,140,185,305
2014,152,192,293
2015,130,179,288
2016,143,191,297
2017,135,182,290
2018,153,195,292
2019,146,187,294
2020,143,194,297
2021,,195,291
