system:time_start,MO,OW,FO
2000,126,168,284
2002,145,187,271
2003,141,191,
2004,149,199,285
2005,135,183,294
2006,126,182,278
2007,144,,280
2008,135,185,277
2009,143,,
2010,103,177,
2011,137,191,274
2012,140,176,
2013,140,180,269
2014,127,177,283
2015,125,177,293
2016,115,182,
2017,128,180,292
2018,131,185,274
2019,132,180,273
2020,151,167,249
2021,144,195,292
