system:time_start,MO,OW,FO
2000,155,215.0,241
2001,,248.0,255
2002,149,207.0,227
2003,156,211.0,255
2004,152,239.0,250
2005,147,,264
2006,156,218.0,249
2007,156,208.0,246
2008,156,,
2009,155,235.0,252
2010,156,228.0,243
2011,154,198.0,258
2012,149,229.0,265
2013,155,,
2014,159,243.0,
2015,152,216.0,
2016,155,213.0,237
2017,,,
2018,152,225.0,
2019,148,208.0,253
2020,151,198.0,248
2021,155,212.0,223
