system:time_start,MO,OW,FO
2000,158,,289
2001,114,161.0,309
2003,125,,
2004,147,185.0,
2005,133,,307
2006,103,160.0,
2007,143,,299
2008,,178.0,303
2009,,,323
2010,97,177.0,309
2011,137,175.0,318
2012,121,,299
2013,128,162.0,
2014,134,,297
2015,125,169.0,301
2017,136,,293
2018,133,169.0,295
2019,148,,300
2020,127,,299
2021,141,180.0,322
