system:time_start,B1,B2
2000-02-28,0.7659,0.7123
2000-02-29,0.7943,0.7347
2000-03-01,0.7165,0.648
2000-03-03,0.7214,0.6533
2000-03-07,0.7807,0.6987
2000-03-09,0.7984,0.7401
2000-03-12,0.7909,0.7125
2000-03-14,0.7746,0.707
2000-03-17,0.727,0.6445
2000-03-23,0.8116,0.74
2000-03-25,0.7348,0.6532
2000-03-27,0.8377,0.7662
2000-03-29,0.8439,0.775
2000-03-31,0.7911,0.7189
2000-04-01,0.9013,0.8447
2000-04-05,0.8455,0.7767
2000-04-06,0.8557,0.7858
2000-04-08,0.8478,0.7723
2000-04-10,0.8566,0.7924
2000-04-17,0.8534,0.7859
2000-04-18,0.8384,0.7653
2000-04-20,0.866,0.797
2000-04-21,0.838,0.7674
2000-04-28,0.8405,0.7781
2000-04-29,0.8805,0.8064
2000-05-01,0.872,0.7973
2000-05-05,0.8864,0.8089
2000-05-06,0.8736,0.7998
2000-05-08,0.8782,0.8107
2000-05-11,0.783,0.7203
2000-05-14,0.9661,0.916
2000-05-16,0.5923,0.4781
2000-05-18,0.9249,0.8877
2000-05-19,0.8935,0.8184
2000-05-23,0.8959,0.8367
2000-05-24,0.8882,0.816
2000-05-26,0.8852,0.8045
2000-05-27,0.9119,0.8608
2000-05-28,0.8784,0.7997
2000-06-02,0.7995,0.7132
2000-06-04,0.898,0.8018
2000-06-06,0.7989,0.6909
2000-06-07,0.714,0.6053
2000-06-08,0.7481,0.6537
2000-06-09,0.6754,0.5646
2000-06-10,0.4106,0.3608
2000-06-13,0.2551,0.2518
2000-06-14,0.1435,0.1772
2000-06-16,0.2727,0.2637
2000-06-18,0.1002,0.152
2000-06-19,0.1237,0.1518
2000-06-20,0.133,0.1893
2000-06-25,0.1048,0.1704
2000-06-29,0.0968,0.1685
2000-06-30,0.0768,0.14
2000-07-01,0.1041,0.157
2000-07-02,0.0947,0.1585
2000-07-03,0.1501,0.1929
2000-07-05,0.1213,0.2294
2000-07-06,0.0779,0.1626
2000-07-08,0.1149,0.2101
2000-07-09,0.0867,0.1904
2000-07-10,0.1316,0.2125
2000-07-12,0.1023,0.2085
2000-07-13,0.0788,0.1894
2000-07-14,0.1009,0.2148
2000-07-15,0.0918,0.2059
2000-07-16,0.1526,0.2396
2000-07-17,0.1107,0.2403
2000-07-18,0.2975,0.28
2000-07-24,0.1046,0.0973
2000-07-25,0.0657,0.1778
2000-07-26,0.0492,0.174
2000-07-27,0.0624,0.1922
2000-07-28,0.0529,0.2225
2000-07-29,0.0669,0.1953
2000-07-30,0.0225,0.0588
2000-08-01,0.0598,0.1925
2000-08-03,0.0651,0.1902
2000-08-04,0.058,0.1686
2000-08-22,0.102,0.2312
2000-08-27,0.0865,0.2051
2000-08-28,0.2661,0.3096
2000-08-31,0.0823,0.2074
2000-09-01,0.0748,0.1606
2000-09-02,0.1092,0.1736
2000-09-03,0.0664,0.1479
2000-09-07,0.0636,0.1507
2000-09-17,0.0745,0.153
2000-09-29,0.4944,0.5107
2000-10-11,0.4966,0.4327
2000-10-14,0.674,0.6337
2000-10-17,0.6913,0.6202
2000-10-22,0.8309,0.7449
2000-10-31,0.6923,0.5663
2001-02-06,0.6925,0.5216
2001-02-11,0.6656,0.5311
2001-02-13,0.6873,0.5784
2001-02-17,0.6988,0.6164
2001-02-21,0.7326,0.6526
2001-02-24,0.7017,0.6209
2001-02-27,0.7553,0.6907
2001-03-02,0.7694,0.6997
2001-03-03,0.6586,0.603
2001-03-10,0.7868,0.7171
2001-03-13,0.7853,0.7135
2001-03-15,0.7676,0.6901
2001-03-16,0.8365,0.7731
2001-03-26,0.8352,0.7754
2001-03-27,0.6428,0.5483
2001-03-29,0.8427,0.773
2001-04-02,0.8391,0.7651
2001-04-03,0.844,0.7816
2001-04-05,0.8476,0.7854
2001-04-06,0.8429,0.7792
2001-04-10,0.867,0.8
2001-04-11,0.8566,0.7907
2001-04-12,0.8572,0.7867
2001-04-13,0.8738,0.8062
2001-04-14,0.8646,0.7858
2001-04-19,0.4503,0.3799
2001-04-23,0.8939,0.8457
2001-04-24,0.8864,0.8169
2001-04-26,0.8785,0.8122
2001-04-27,0.8946,0.8255
2001-04-28,0.884,0.8133
2001-05-01,0.8821,0.8204
2001-05-20,0.2507,0.139
2001-05-22,0.2154,0.1368
2001-05-23,0.918,0.8643
2001-05-24,0.9526,0.915
2001-05-30,0.931,0.8476
2001-05-31,0.9148,0.8348
2001-06-06,0.7964,0.6417
2001-06-07,0.8041,0.6496
2001-06-12,0.6734,0.5655
2001-07-05,0.1158,0.1576
2001-07-09,0.1018,0.1525
2001-07-10,0.2745,0.2986
2001-07-11,0.0481,0.0676
2001-07-13,0.235,0.254
