system:time_start,MO,OW,FO
2000,161,212.0,
2001,168,206.0,
2003,142,189.0,
2004,155,212.0,
2005,169,,
2006,,191.0,
2007,155,200.0,
2008,152,195.0,
2009,149,206.0,262.0
2010,151,211.0,258.0
2011,152,,
2012,162,198.0,
2013,154,200.0,294.0
2014,154,215.0,
2015,168,228.0,279.0
2016,,211.0,
2017,152,211.0,302.0
2018,158,220.0,302.0
2019,147,210.0,291.0
2020,156,218.0,300.0
2021,165,184.0,304.0
