system:time_start,MO,OW,FO
2000,158,223.0,
2001,161,222.0,286
2002,157,211.0,
2003,164,,
2004,158,219.0,
2005,143,225.0,287
2006,144,199.0,281
2007,151,210.0,
2008,,216.0,286
2009,156,215.0,
2010,159,204.0,266
2011,160,,299
2012,153,207.0,300
2013,151,206.0,299
2014,161,207.0,293
2015,151,211.0,288
2016,151,203.0,286
2017,,195.0,
2018,155,207.0,285
2019,151,238.0,290
2020,159,220.0,
2021,158,212.0,301
