system:time_start,MO,OW,FO
2000,156,198,294
2001,154,202,
2002,154,226,274
2003,145,215,286
2004,147,209,288
2005,141,205,286
2006,147,185,287
2007,150,190,283
2008,155,183,272
2009,153,213,282
2010,142,186,255
2011,160,,
2012,144,189,277
2013,147,199,275
2014,156,199,288
2015,,210,291
2016,149,194,290
2017,138,187,273
2018,155,202,281
2019,156,,
2020,154,200,
2021,154,210,258
