system:time_start,MO,OW,FO
2000,155,210,
2001,147,217,269.0
2002,156,218,
2004,153,,272.0
2005,138,,262.0
2006,142,213,277.0
2007,160,212,252.0
2008,159,212,294.0
2009,163,230,283.0
2010,145,206,290.0
2011,155,209,288.0
2012,149,208,
2013,143,209,299.0
2015,137,213,288.0
2016,148,198,298.0
2017,136,206,
2018,153,212,288.0
2019,150,213,299.0
2020,162,213,280.0
2021,155,230,
