system:time_start,MO,OW,FO
2000,139,184,302
2001,142,185,280
2002,144,187,307
2003,144,185,
2004,119,178,278
2005,136,184,
2006,127,184,
2007,153,185,306
2008,120,173,
2009,139,181,
2010,121,167,303
2011,144,,299
2012,117,172,308
2013,125,174,306
2014,142,184,307
2015,136,182,297
2016,131,,297
2017,139,196,
2018,157,,
2019,122,171,281
2020,124,188,271
2021,146,190,
