system:time_start,MO,OW,FO
2000,164,230.0,295.0
2001,152,205.0,282.0
2002,156,217.0,260.0
2003,157,,
2004,164,207.0,295.0
2005,157,209.0,
2006,171,210.0,263.0
2007,155,214.0,295.0
2008,170,206.0,
2009,156,203.0,254.0
2010,,199.0,294.0
2011,158,226.0,284.0
2012,158,199.0,
2013,155,209.0,280.0
2014,160,215.0,
2015,168,215.0,278.0
2016,160,209.0,282.0
2017,164,217.0,
2018,157,206.0,
2019,150,198.0,278.0
2020,162,206.0,274.0
2021,153,202.0,263.0
