system:time_start,MO,OW,FO
2000,153,167.0,
2001,123,151.0,313
2003,125,164.0,
2004,125,,335
2005,124,153.0,280
2006,123,147.0,
2007,154,169.0,318
2008,113,146.0,
2009,127,175.0,325
2010,135,150.0,
2011,146,161.0,
2013,110,151.0,333
2014,129,164.0,279
2015,105,157.0,321
2016,162,177.0,
2017,120,153.0,
2018,168,183.0,321
2019,111,150.0,299
2020,122,174.0,324
