system:time_start,MO,OW,FO
2000,148,,350.0
2001,112,157,341.0
2002,132,178,341.0
2003,118,,
2004,117,174,353.0
2005,133,,357.0
2006,105,148,347.0
2007,132,170,340.0
2008,117,157,354.0
2009,123,173,355.0
2010,115,153,
2011,122,171,344.0
2012,131,,352.0
2013,155,170,339.0
2014,134,185,334.0
2015,98,167,337.0
2016,130,169,
2017,131,167,349.0
2018,135,178,346.0
2019,138,,350.0
2020,122,174,353.0
