system:time_start,MO,OW,FO
2000,155,,289
2001,148,202,264
2002,146,188,298
2003,143,189,295
2004,150,,284
2005,138,202,295
2006,124,183,297
2007,147,190,278
2008,136,184,
2009,142,,293
2011,137,190,296
2012,139,183,298
2014,121,183,279
2015,129,180,291
2016,129,183,298
2017,119,181,298
2018,146,,268
2019,135,177,266
2020,150,191,257
2021,149,190,
