system:time_start,MO,OW,FO
2000,154,219,281.0
2001,,219,280.0
2002,158,204,286.0
2003,146,225,294.0
2004,155,222,274.0
2005,143,228,276.0
2006,144,198,286.0
2007,155,,287.0
2008,142,217,295.0
2009,157,216,290.0
2010,158,,297.0
2011,143,217,290.0
2012,149,211,
2013,145,206,266.0
2014,161,176,292.0
2015,148,219,292.0
2016,148,163,272.0
2017,135,196,278.0
2018,153,168,258.0
2019,153,168,294.0
2020,157,222,270.0
2021,156,224,297.0
