system:time_start,MO,OW,FO
2000,135,165.0,316.0
2001,130,145.0,318.0
2002,112,159.0,347.0
2003,110,124.0,274.0
2004,136,151.0,254.0
2005,99,156.0,315.0
2006,89,104.0,
2007,84,,303.0
2008,135,187.0,287.0
2009,126,142.0,350.0
2010,122,138.0,270.0
2011,90,,292.0
2012,88,103.0,349.0
2013,121,,
2014,130,146.0,289.0
2015,133,149.0,288.0
2016,104,120.0,
2017,111,171.0,296.0
2018,138,176.0,317.0
2019,114,178.0,
2020,72,90.0,305.0
2021,144,159.0,312.0
