system:time_start,MO,OW,FO
2000,163,216,
2001,151,203,287.0
2002,156,209,
2003,167,223,262.0
2004,165,229,
2005,158,221,275.0
2006,151,202,292.0
2007,161,214,293.0
2008,156,211,262.0
2009,166,225,275.0
2010,159,210,
2011,148,203,284.0
2012,154,213,289.0
2013,149,207,299.0
2014,140,217,280.0
2015,152,213,
2016,157,202,
2017,137,207,
2018,157,211,282.0
2019,148,,
2020,163,209,260.0
2021,160,220,295.0
