system:time_start,B1,B1_interpolate,B1_interpolate_phenology
2017-02-02,0.044,0.044,
2017-02-03,,,
2017-02-04,,,
2017-02-05,0.822,0.822,
2017-02-06,,0.898,
2017-02-07,0.908,0.908,
2017-02-08,0.898,0.898,
2017-02-09,0.714,0.714,
2017-02-10,0.817,0.817,
2017-02-11,,0.7433333333333333,
2017-02-12,,0.699,
2017-02-13,0.699,0.699,
2017-02-14,,0.699,
2017-02-15,,0.7647666666666667,
2017-02-16,,0.699,
2017-02-17,,0.7545,
2017-02-18,,0.7545,
2017-02-19,,0.7865666666666666,
2017-02-20,0.81,0.81,
2017-02-21,,0.8160000000000001,
2017-02-22,,0.8220000000000001,
2017-02-23,,0.8220000000000001,
2017-02-24,,0.834,
2017-02-25,,0.8243333333333333,
2017-02-26,0.834,0.834,
2017-02-27,0.817,0.817,
2017-02-28,,0.8243333333333333,
2017-03-01,,0.8020039682539684,
2017-03-02,,0.817,
2017-03-03,,0.7798888888888889,
2017-03-04,,0.522,
2017-03-05,,0.7938333333333333,MO
2017-03-06,,0.888,
2017-03-07,,0.7621219576719577,
2017-03-08,,0.522,
2017-03-09,0.522,0.522,
2017-03-10,0.848,0.848,
2017-03-11,0.888,0.888,
2017-03-12,0.854,0.854,
2017-03-13,,0.685,
2017-03-14,0.516,0.516,
2017-03-15,,0.7419851851851853,
2017-03-16,,0.685,
2017-03-17,,0.6963333333333334,
2017-03-18,,0.854,
2017-03-19,,0.7805333333333333,
2017-03-20,,0.893,
2017-03-21,0.888,0.888,
2017-03-22,,0.903,
2017-03-23,,0.8993333333333333,
2017-03-24,0.903,0.903,
2017-03-25,0.907,0.907,
2017-03-26,0.855,0.855,
2017-03-27,0.893,0.893,
2017-03-28,0.907,0.907,
2017-03-29,0.91,0.91,
2017-03-30,0.695,0.695,
2017-03-31,,0.7869999999999999,
2017-04-01,,0.7869999999999999,
2017-04-02,0.756,0.756,
2017-04-03,,0.916375,
2017-04-04,,0.8639999999999999,FU
2017-04-05,,0.914,
2017-04-06,,0.914,
2017-04-07,,0.914,
2017-04-08,,0.916375,
2017-04-09,,0.916375,
2017-04-10,1.072,1.072,
2017-04-11,,0.914,
2017-04-12,0.914,0.914,
2017-04-13,,0.914,
2017-04-14,0.933,0.933,
2017-04-15,0.929,0.929,
2017-04-16,0.905,0.905,
2017-04-17,0.902,0.902,
2017-04-18,,0.922,
2017-04-19,,0.929,
2017-04-20,,0.918,
2017-04-21,,0.934,
2017-04-22,,0.9223125,
2017-04-23,0.934,0.934,
2017-04-24,,0.9205,
2017-04-25,,0.934,
2017-04-26,0.907,0.907,
2017-04-27,,0.689,
2017-04-28,,0.8388333333333334,
2017-04-29,,0.689,
2017-04-30,,0.8784761904761906,
2017-05-01,,0.8784761904761906,
2017-05-02,0.689,0.689,
2017-05-03,0.925,0.925,
2017-05-04,0.9205,0.9205,
2017-05-05,0.935,0.935,
2017-05-06,,0.9261,
2017-05-07,,0.935,MO
2017-05-08,,0.9286,
2017-05-09,0.915,0.915,
2017-05-10,0.854,0.854,
2017-05-11,1.004,1.004,
2017-05-12,0.939,0.939,
2017-05-13,,0.922,
2017-05-14,0.922,0.922,
2017-05-15,0.875,0.875,
2017-05-16,,0.8866666666666667,
2017-05-17,,0.8866666666666667,
2017-05-18,0.863,0.863,
2017-05-19,0.511,0.511,
2017-05-20,,0.6176666666666667,
2017-05-21,,0.863,
2017-05-22,0.479,0.479,
2017-05-23,,0.479,
2017-05-24,,0.5569999999999999,
2017-05-25,,0.4964,
2017-05-26,,0.4964,
2017-05-27,0.635,0.635,
2017-05-28,,0.482,
2017-05-29,,0.482,
2017-05-30,0.329,0.329,
2017-05-31,,0.329,
2017-06-01,,0.2836666666666667,
2017-06-02,0.362,0.362,
2017-06-03,0.16,0.16,
2017-06-04,,0.2836666666666667,PO
2017-06-05,,0.262,
2017-06-06,,0.371,
2017-06-07,0.364,0.364,
2017-06-08,0.373,0.373,
2017-06-09,0.371,0.371,
2017-06-10,,0.364,
2017-06-11,,0.3525,
2017-06-12,,0.3525,
2017-06-13,0.334,0.334,
2017-06-14,,0.334,
2017-06-15,0.309,0.309,
2017-06-16,,0.309,
2017-06-17,0.396,0.396,
2017-06-18,0.59,0.59,
2017-06-19,0.419,0.419,
2017-06-20,,0.459,
2017-06-21,0.459,0.459,
2017-06-22,0.389,0.389,PD
2017-06-23,0.391,0.391,
2017-06-24,0.39,0.39,
2017-06-25,,0.365,
2017-06-26,0.34,0.34,
2017-06-27,0.33,0.33,
