system:time_start,B1,B2,B1_interpolate,B2_interpolate
2000-03-11,0.9011,0.825,0.9011,0.825
2000-03-12,,,0.8357,0.7671
2000-03-13,0.7703,0.7092,0.7703,0.7092
2000-03-14,,,0.84659,0.78387
2000-03-15,,,0.83205,0.77575
2000-03-16,,,0.8463800000000001,0.7861800000000001
2000-03-17,0.8938,0.8423,0.8938,0.8423
2000-03-18,,,0.84755,0.78115
2000-03-19,,,0.8882,0.8225
2000-03-20,0.8013,0.72,0.8013,0.72
2000-03-21,0.8882,0.8225,0.8882,0.8225
2000-03-22,0.5962,0.5223,0.5962,0.5223
2000-03-23,,,0.8254372222222223,0.7595013888888889
2000-03-24,,,0.8208071759259258,0.7527280092592591
2000-03-25,,,0.8013,0.7244666666666667
2000-03-26,,,0.7931666666666667,0.7244666666666667
2000-03-27,,,0.7456499999999999,0.67545
2000-03-28,,,0.8044944444444444,0.7378527777777778
2000-03-29,,,0.894725,0.83115
2000-03-30,,,0.8588391203703702,0.7951365162037037
2000-03-31,0.8951,0.8286,0.8951,0.8286
2000-04-01,,,0.8672833333333334,0.8053520833333334
2000-04-02,,,0.89435,0.8337
2000-04-03,,,0.9025,0.8426
2000-04-04,,,0.8951,0.8388
2000-04-05,0.8936,0.8388,0.8936,0.8388
2000-04-06,0.9188,0.8604,0.9188,0.8604
2000-04-07,,,0.9006840895061728,0.8409742584876544
2000-04-08,,,0.9025,0.8426
2000-04-09,,,0.9051722222222222,0.8475166666666667
2000-04-10,,,0.9056,0.8491
2000-04-11,,,0.9121999999999999,0.85475
2000-04-12,,,0.9188,0.8604
2000-04-13,,,0.9203166666666667,0.8591611111111112
2000-04-14,,,0.9201,0.8576975
2000-04-15,,,0.920720425925926,0.8573628518518518
2000-04-16,0.9056,0.8491,0.9056,0.8491
2000-04-17,,,0.92255,0.8633
2000-04-18,0.9395,0.8775,0.9395,0.8775
2000-04-19,0.9201,0.8575,0.9201,0.8575
2000-04-20,0.9397,0.8604,0.9397,0.8604
2000-04-21,,,0.9264674999999999,0.8576975
2000-04-22,,,0.9360999999999999,0.86045
2000-04-23,,,0.9360999999999999,0.86327
2000-04-24,,,0.9402999999999999,0.86045
2000-04-25,,,0.9078900000000001,0.8300599999999999
2000-04-26,,,0.9078900000000001,0.8300599999999999
2000-04-27,,,0.8901266666666667,0.8155088888888888
2000-04-28,0.9409,0.8605,0.9409,0.8605
2000-04-29,,,0.8627499999999999,0.7835000000000001
2000-04-30,,,0.8558,0.78545
2000-05-01,0.7846,0.7065,0.7846,0.7065
2000-05-02,,,0.8558,0.78545
2000-05-03,0.927,0.8644,0.927,0.8644
2000-05-04,0.8702,0.8134,0.8702,0.8134
2000-05-05,,,0.9050666666666668,0.8383666666666666
2000-05-06,,,0.8941,0.82535
2000-05-07,0.918,0.8373,0.918,0.8373
2000-05-08,,,0.863,0.799425
2000-05-09,,,0.8238143518518518,0.7406168981481481
2000-05-10,,,0.8702,0.8134
2000-05-11,,,0.8186666666666667,0.7268166666666668
2000-05-12,,,0.78095,0.6775500000000001
2000-05-13,,,0.7397222222222223,0.6351194444444445
2000-05-14,,,0.6621666666666667,0.55245
2000-05-15,,,0.709525925925926,0.6065054783950617
2000-05-16,0.6439,0.5178,0.6439,0.5178
2000-05-17,,,0.7171222222222222,0.6116796296296295
2000-05-18,,,0.61465,0.4988
2000-05-19,,,0.6621666666666667,0.55245
2000-05-20,,,0.6621666666666667,0.55245
2000-05-21,0.5854,0.4798,0.5854,0.4798
2000-05-22,,,0.7572000000000001,0.6597500000000001
2000-05-23,0.929,0.8397,0.929,0.8397
2000-05-24,,,0.88605,0.7968999999999999
2000-05-25,0.8431,0.7541,0.8431,0.7541
2000-05-26,,,0.7114,0.6109
2000-05-27,0.5797,0.4677,0.5797,0.4677
2000-05-28,,,0.7114,0.6109
2000-05-29,,,0.69845,0.599
2000-05-30,0.8172,0.7303,0.8172,0.7303
2000-05-31,,,0.77515,0.6658166666666667
2000-06-01,,,0.8172,0.7303
2000-06-02,,,0.8659,0.7477499999999999
2000-06-03,,,0.8605,0.7303
2000-06-04,,,0.7911888888888888,0.6600722222222222
2000-06-05,0.9146,0.7652,0.9146,0.7652
2000-06-06,0.789,0.6493,0.789,0.6493
2000-06-07,0.8605,0.6974,0.8605,0.6974
2000-06-08,0.7658,0.6371,0.7658,0.6371
2000-06-09,0.43,0.253,0.43,0.253
2000-06-10,0.1892,0.0325,0.1892,0.0325
2000-06-11,0.156,0.025,0.156,0.025
2000-06-12,0.1927,0.0477,0.1927,0.0477
2000-06-13,0.1606,0.0305,0.1606,0.0305
2000-06-14,0.0869,0.0254,0.0869,0.0254
2000-06-15,,,0.13640000000000002,0.05395
2000-06-16,0.1859,0.0825,0.1859,0.0825
2000-06-17,,,0.28635,0.20045000000000002
2000-06-18,0.3868,0.3184,0.3868,0.3184
2000-06-19,0.4603,0.3895,0.4603,0.3895
2000-06-20,0.1672,0.0599,0.1672,0.0599
2000-06-21,0.1166,0.0309,0.1166,0.0309
2000-06-22,,,0.13783333333333334,0.0415
2000-06-23,,,0.1297,0.0337
2000-06-24,0.1297,0.0337,0.1297,0.0337
2000-06-25,0.1517,0.0752,0.1517,0.0752
2000-06-26,0.1259,0.0341,0.1259,0.0341
2000-06-27,0.107,0.0356,0.107,0.0356
2000-06-28,0.1369,0.0435,0.1369,0.0435
2000-06-29,0.1738,0.1126,0.1738,0.1126
2000-06-30,,,0.13593333333333332,0.06553333333333335
2000-07-01,,,0.0971,0.0405
2000-07-02,0.0971,0.0405,0.0971,0.0405
2000-07-03,,,0.08565,0.029150000000000002
2000-07-04,0.0742,0.0178,0.0742,0.0178
2000-07-05,0.089,0.0447,0.089,0.0447
2000-07-06,,,0.0664,0.021966666666666666
2000-07-07,,,0.0411,0.0066
2000-07-08,0.036,0.0034,0.036,0.0034
2000-07-09,0.0411,0.0066,0.0411,0.0066
2000-07-10,0.0666,0.025,0.0666,0.025
2000-07-11,,,0.09425,0.0595
2000-07-12,0.1219,0.094,0.1219,0.094
2000-07-13,,,0.1219,0.094
2000-07-14,,,0.19103333333333336,0.1491
2000-07-15,0.4496,0.3615,0.4496,0.3615
2000-07-16,0.0016,-0.0082,0.0016,-0.0082
2000-07-17,0.0067,-0.0036,0.0067,-0.0036
2000-07-18,0.0213,0.0055,0.0213,0.0055
2000-07-19,,,0.03,0.0155
2000-07-20,,,0.03,0.0155
2000-07-21,,,0.062,0.0446
2000-07-22,,,0.07115238095238095,0.04754761904761905
2000-07-23,0.062,0.0446,0.062,0.0446
2000-07-24,0.1967,0.1371,0.1967,0.1371
2000-07-25,,,0.062,0.0446
2000-07-26,,,0.06406666666666667,0.04093333333333333
2000-07-27,-0.006,-0.01,-0.006,-0.01
2000-07-28,0.0015,-0.0043,0.0015,-0.0043
2000-07-29,0.0319,0.0218,0.0319,0.0218
2000-07-30,0.0039,-0.0004,0.0039,-0.0004
2000-07-31,0.0039,-0.0003,0.0039,-0.0003
2000-08-01,0.0017,0.0001,0.0017,0.0001
2000-08-02,,,0.00245,0.0001
2000-08-03,0.0032,0.0001,0.0032,0.0001
2000-08-04,,,0.006,0.00475
2000-08-05,0.0088,0.0094,0.0088,0.0094
2000-08-06,,,0.0039,0.0010000000000000002
2000-08-07,,,0.014719444444444445,0.008603395061728393
2000-08-08,,,0.0039,0.0001
2000-08-09,,,0.012930208333333333,0.007745486111111111
2000-08-10,,,0.0039,0.0010000000000000002
2000-08-11,,,0.008161111111111112,0.004902222222222223
2000-08-12,,,0.0032,0.0001
2000-08-13,,,0.0032500000000000003,0.0010000000000000002
2000-08-14,,,0.00235,5.0000000000000565e-05
2000-08-15,,,0.041800000000000004,0.02892
2000-08-16,,,0.041800000000000004,0.02892
2000-08-17,,,0.042972222222222224,0.02878555555555555
2000-08-18,,,0.008161111111111112,0.004902222222222223
2000-08-19,,,0.031033333333333336,0.01999861111111111
2000-08-20,,,0.006,0.0043
2000-08-21,,,0.027840740740740746,0.018004320987654324
2000-08-22,,,0.006,0.0010000000000000002
2000-08-23,-0.0041,-0.0093,-0.0041,-0.0093
2000-08-24,,,0.06595000000000001,0.04505
2000-08-25,0.136,0.0994,0.136,0.0994
2000-08-26,,,0.06595000000000001,0.04505
2000-08-27,,,0.06955,0.049300000000000004
2000-08-28,,,0.006,-0.0004
2000-08-29,0.0031,-0.0008,0.0031,-0.0008
2000-08-30,,,0.00455,-0.0006000000000000001
2000-08-31,0.006,-0.0004,0.006,-0.0004
2000-09-01,0.0015,0.0043,0.0015,0.0043
2000-09-02,0.0031,-0.0002,0.0031,-0.0002
2000-09-03,,,0.0033,-0.0004
2000-09-04,,,0.0033,-0.0007
2000-09-05,,,0.0031999999999999997,-0.0009499999999999999
2000-09-06,0.0035,-0.0012,0.0035,-0.0012
2000-09-07,,,0.001925,-0.0034
2000-09-08,,,0.0005500000000000001,-0.0056
2000-09-09,,,0.0031,-0.0012
2000-09-10,-0.0024,-0.01,-0.0024,-0.01
2000-09-11,0.0031,-0.0004,0.0031,-0.0004
2000-09-12,,,0.0042,-0.00015000000000000001
2000-09-13,0.0053,0.0001,0.0053,0.0001
2000-09-14,,,0.004473484848484849,-0.001810064935064935
2000-09-15,,,0.0053,-0.0005166666666666667
2000-09-16,,,0.006066666666666667,-0.0005166666666666667
2000-09-17,,,0.006999999999999999,-0.0007
2000-09-18,,,0.008291666666666666,0.0005726190476190476
2000-09-19,,,0.0087,0.0005726190476190476
2000-09-20,0.0087,-0.0015,0.0087,-0.0015
2000-09-21,,,0.009675,0.0007250000000000002
2000-09-22,,,0.01065,0.00295
2000-09-23,,,0.01065,0.0029500000000000004
2000-09-24,,,0.01065,0.00295
2000-09-25,,,0.011625,0.005175000000000001
2000-09-26,0.0126,0.0074,0.0126,0.0074
2000-09-27,,,0.011625,0.005175000000000001
2000-09-28,,,0.015341666666666667,0.007308333333333333
2000-09-29,,,0.0126,0.0074
2000-09-30,,,0.0189,0.01035
2000-10-01,,,0.0252,0.0133
2000-10-02,,,0.0246625,0.01213125
2000-10-03,,,0.0252,0.0133
