system:time_start,MO,OW,FO
2000,164,181.0,244.0
2001,166,199.0,249.0
2002,145,198.0,
2003,143,185.0,269.0
2004,167,208.0,264.0
2005,150,201.0,264.0
2006,151,195.0,251.0
2007,154,,252.0
2008,,192.0,250.0
2009,166,196.0,267.0
2010,142,186.0,274.0
2011,137,195.0,264.0
2012,146,194.0,
2013,144,200.0,266.0
2014,,200.0,265.0
2015,165,197.0,263.0
2016,162,,252.0
2017,163,205.0,
2018,182,197.0,275.0
2019,,185.0,267.0
2020,165,201.0,272.0
2021,125,179.0,263.0
