system:time_start,MO,OW,FO
2000,,,
2001,167,,
2002,164,213.0,
2003,165,211.0,224.0
2004,170,,
2005,156,,
2006,164,,
2007,165,,
2008,165,,
2009,,,
2010,166,,
2011,158,,
2012,161,,
2013,162,,
2014,158,,
2015,164,,
2016,156,,
2017,160,,
2018,159,,
2019,159,,
2020,161,,
2021,159,,
