system:time_start,MO,OW,FO
2000,157,199.0,314
2001,130,185.0,
2002,155,195.0,313
2003,133,183.0,
2004,141,206.0,
2005,139,193.0,306
2006,143,183.0,321
2007,153,202.0,314
2008,130,190.0,317
2009,142,198.0,321
2010,152,194.0,318
2011,143,191.0,314
2012,148,190.0,319
2013,149,,
2014,124,188.0,314
2015,146,196.0,
2016,155,190.0,
2017,138,186.0,304
2018,152,194.0,312
2019,148,203.0,
2020,155,196.0,306
2021,145,189.0,
