system:time_start,MO,OW,FO
2000,164,209,264.0
2001,147,199,279.0
2002,,203,248.0
2003,,207,261.0
2004,157,,277.0
2005,157,208,
2006,148,191,291.0
2007,153,204,
2008,155,200,292.0
2009,154,207,276.0
2010,152,207,259.0
2011,142,204,276.0
2012,149,196,281.0
2013,148,198,273.0
2014,,,278.0
2015,153,196,
2016,156,201,287.0
2017,142,186,268.0
2018,157,198,281.0
2019,142,191,285.0
2020,156,194,275.0
2021,160,199,265.0
