system:time_start,MO,OW,FO
2000,156,229,282
2001,127,222,282
2002,156,171,
2003,146,212,299
2004,156,218,276
2005,143,222,282
2006,142,202,284
2007,145,173,272
2008,159,174,
2009,158,213,292
2010,138,210,
2011,157,172,294
2012,155,208,298
2013,143,204,300
2014,159,208,293
2015,151,166,289
2016,148,162,281
2017,132,195,277
2018,156,170,280
2019,151,167,298
2020,159,174,
2021,158,172,298
