system:time_start,MO,OW,FO
2000,164,217,277
2001,151,204,275
2002,160,219,267
2003,164,232,280
2004,159,225,
2005,158,224,264
2006,151,207,282
2007,154,213,272
2008,153,214,286
2009,159,218,265
2010,154,210,270
2011,153,206,
2012,155,207,271
2013,153,205,
2014,157,228,285
2015,151,214,276
2016,158,207,283
2017,,,
2018,156,220,283
2019,146,217,288
2020,161,214,255
2021,161,218,
