system:time_start,MO,OW,FO
2000,124,217,278
2001,149,200,295
2002,145,,271
2003,141,191,
2004,150,197,285
2005,133,183,294
2006,126,182,281
2007,144,192,280
2008,136,186,296
2009,143,,
2010,103,177,
2011,138,191,274
2012,139,176,
2013,143,,270
2014,127,179,283
2015,127,178,293
2016,122,182,
2017,130,181,292
2018,148,190,274
2019,133,209,273
2020,152,191,249
2021,145,196,292
