system:time_start,MO,OW,FO
2000,138,173,326.0
2001,116,160,
2002,163,178,332.0
2003,130,186,
2004,150,195,314.0
2005,109,162,
2006,,163,323.0
2007,138,196,337.0
2008,131,173,327.0
2009,137,,
2011,121,171,335.0
2013,111,170,334.0
2014,122,169,310.0
2015,106,174,301.0
2016,131,,342.0
2017,125,,353.0
2018,144,211,342.0
2019,149,,335.0
2020,136,180,342.0
2021,164,178,
