system:time_start,MO,OW,FO
2000,160,,302
2001,138,185,306
2002,142,196,300
2003,140,193,309
2004,155,202,
2005,146,193,313
2007,157,,300
2008,131,191,
2009,154,197,298
2010,142,188,313
2011,150,191,311
2012,154,196,301
2013,154,196,308
2014,138,192,
2015,156,203,291
2016,156,196,315
2017,139,,296
2018,158,200,
2019,146,191,307
2020,155,195,307
2021,152,193,305
