system:time_start,MO,OW,FO
2000,159,202,280
2001,156,202,278
2002,162,,262
2003,157,222,276
2004,162,226,263
2005,,213,260
2006,161,204,268
2007,152,200,256
2008,153,207,282
2009,155,209,269
2010,146,199,277
2011,,196,275
2012,148,211,
2013,151,206,279
2014,159,218,279
2015,158,216,288
2016,156,198,
2017,156,210,280
2018,155,215,278
2019,152,,258
2020,156,198,273
2021,153,207,268
