system:time_start,MO,OW,FO
2000,157,,299
2001,142,182.0,294
2002,151,,312
2003,,188.0,349
2004,143,191.0,351
2005,148,194.0,315
2006,138,184.0,347
2007,155,205.0,302
2008,131,178.0,312
2009,150,189.0,301
2010,145,185.0,322
2011,142,,347
2012,151,193.0,
2013,153,200.0,307
2014,137,183.0,353
2015,153,192.0,
2016,153,200.0,313
2017,143,186.0,
2018,155,195.0,310
2019,127,172.0,
2020,159,192.0,
