system:time_start,MO,OW,FO
2000,157,198,276.0
2001,155,186,278.0
2002,153,,220.0
2003,149,197,286.0
2004,151,197,289.0
2005,139,207,283.0
2006,129,189,288.0
2007,149,,276.0
2008,148,190,266.0
2009,153,,260.0
2010,142,182,241.0
2011,143,158,192.0
2012,142,,
2013,148,163,221.0
2014,155,,288.0
2015,131,178,220.0
2016,156,172,289.0
2017,134,172,266.0
2018,155,195,
2019,155,188,210.0
2020,154,184,275.0
2021,152,182,281.0
