system:time_start,MO,OW,FO
2000,160,204,285
2001,164,214,271
2002,158,219,254
2003,158,214,266
2004,156,,268
2005,157,217,
2006,157,204,265
2008,156,216,236
2009,163,205,267
2010,160,201,287
2011,,202,283
2012,156,207,288
2013,152,208,278
2014,163,231,247
2015,158,205,243
2016,157,201,270
2017,153,206,275
2018,156,222,276
2019,151,195,258
2020,163,206,268
2021,157,206,
