system:time_start,MO,OW,FO
2000,,193,
2002,,190,314
2003,159,174,315
2004,145,196,
2005,137,183,298
2006,135,178,
2007,173,188,306
2008,136,185,
2009,140,194,
2010,157,190,
2013,135,181,
2014,142,185,
2015,130,185,
2017,132,177,
2018,166,181,259
2019,,190,305
