system:time_start,B1,B2
2000-03-03,0.7988,0.7275
2000-03-07,0.8785,0.8033
2000-03-09,0.8615,0.8054
2000-03-14,0.8694,0.804
2000-03-25,0.89,0.8238
2000-03-27,0.9404,0.8718
2000-03-29,0.9177,0.8506
2000-04-01,0.9129,0.8512
2000-04-03,0.9053,0.8396
2000-04-08,0.9164,0.8487
2000-04-10,0.9168,0.8503
2000-04-15,0.909,0.8402
2000-04-20,0.8766,0.8
2000-04-21,0.9394,0.8626
2000-05-01,0.9436,0.8593
2000-05-05,0.9334,0.8485
2000-05-06,0.696,0.5414
2000-05-09,0.9286,0.8424
2000-05-11,0.625,0.5272
2000-05-12,0.9441,0.8562
2000-05-19,0.92,0.8468
2000-05-26,0.9395,0.8562
2000-05-28,0.9304,0.8489
2000-05-31,0.8624,0.7476
2000-06-02,0.9345,0.8439
2000-06-04,0.8679,0.7794
2000-06-05,0.4941,0.2769
2000-06-06,0.925,0.8184
2000-06-07,0.9159,0.7621
2000-06-10,0.8245,0.6531
2000-06-11,0.7461,0.5759
2000-06-12,0.589,0.4023
2000-06-13,0.5873,0.4364
2000-06-14,0.5873,0.424
2000-06-15,0.4268,0.2206
2000-06-16,0.4815,0.3167
2000-06-19,0.3393,0.2004
2000-06-20,0.342,0.2094
2000-06-25,0.3928,0.2746
2000-07-01,0.2282,0.1873
2000-07-02,0.1886,0.0932
2000-07-03,0.2544,0.1161
2000-07-04,0.3571,0.2498
2000-07-05,0.3294,0.191
2000-07-06,0.3201,0.196
2000-07-07,0.3847,0.2584
2000-07-08,0.3489,0.2264
2000-07-09,0.3497,0.2378
2000-07-10,0.4549,0.3526
2000-07-12,0.3968,0.2879
2000-07-13,0.385,0.2716
2000-07-14,0.3709,0.2766
2000-07-15,0.3691,0.251
2000-07-17,0.3591,0.2426
2000-07-18,0.3267,0.2168
2000-07-19,0.3861,0.2948
2000-07-20,0.3893,0.3203
2000-07-21,0.3832,0.2966
2000-07-24,0.1375,0.1014
2000-07-25,0.2581,0.1838
2000-07-26,0.2282,0.1568
2000-07-27,0.2821,0.2108
2000-07-28,0.1458,0.0939
2000-07-30,0.1898,0.1326
2000-07-31,0.2515,0.1773
