system:time_start,MO,OW,FO
2000,163,208,
2001,155,205,296.0
2002,160,210,298.0
2003,155,210,273.0
2004,167,,290.0
2005,158,211,286.0
2006,151,207,287.0
2007,160,212,281.0
2008,156,209,288.0
2009,155,205,287.0
2010,165,205,278.0
2011,163,205,298.0
2012,152,212,298.0
2013,155,219,281.0
2014,161,219,297.0
2015,160,,
2016,163,207,298.0
2017,159,200,
2018,161,202,279.0
2019,147,201,
2020,159,206,276.0
2021,162,204,
