system:time_start,MO,OW,FO
2000,163,,268.0
2001,168,238.0,267.0
2002,161,253.0,271.0
2003,168,207.0,230.0
2004,170,238.0,253.0
2005,143,228.0,271.0
2006,169,217.0,267.0
2007,158,205.0,263.0
2008,158,233.0,244.0
2009,159,207.0,277.0
2010,159,207.0,271.0
2011,153,188.0,280.0
2012,154,197.0,243.0
2013,168,227.0,257.0
2014,169,225.0,
2015,154,199.0,271.0
2017,166,213.0,261.0
2018,,214.0,224.0
2019,156,223.0,259.0
2020,160,207.0,252.0
2021,161,223.0,253.0
