system:time_start,MO,OW,FO
2000,175,190.0,
2001,,180.0,
2002,153,192.0,295
2003,165,185.0,298
2004,154,,
2005,136,197.0,
2006,144,181.0,
2007,149,197.0,301
2009,171,191.0,291
2011,144,186.0,312
2012,155,185.0,
2013,,181.0,296
2014,165,182.0,296
2015,153,193.0,
2016,156,185.0,303
2017,,177.0,
2019,145,191.0,304
2020,155,190.0,295
