system:time_start,B1,B2
2016-02-04,0.38633742928504944,0.43945884704589844
2016-02-06,0.9393,0.7691
2016-02-07,0.8438,0.7091
2016-02-10,0.8465,0.7418
2016-02-11,0.8612,0.7553
2016-02-12,0.5884,0.4675
2016-02-13,0.8743,0.7944
2016-02-14,0.8222,0.7406
2016-02-16,0.8454,0.7773
2016-02-20,0.5911017656326294,0.6780639290809631
2016-02-27,0.6370684504508972,0.7193476557731628
2016-02-29,0.8305,0.7739
2016-03-01,0.8391,0.7813
2016-03-02,0.8659,0.8052
2016-03-03,0.8907,0.8375
2016-03-05,0.7756799459457397,0.8534387946128845
2016-03-07,0.6003984212875366,0.6317253708839417
2016-03-09,0.8549,0.7973
2016-03-14,0.8845,0.8336
2016-03-16,0.889,0.8362
2016-03-17,0.7802,0.7271
2016-03-20,0.8167,0.7562
2016-03-21,0.5006511807441711,0.45843976736068726
2016-03-24,0.8619,0.8078
2016-03-25,0.9061,0.8786
2016-03-26,0.9146,0.866
2016-04-01,0.8454,0.7942
2016-04-02,0.8764,0.8143
2016-04-07,0.8815,0.8172
2016-04-08,0.7794740796089172,0.7914659976959229
2016-04-10,0.9068,0.8449
2016-04-16,0.9008,0.8463
2016-04-17,0.9178,0.8645
2016-04-18,0.8984,0.8377
2016-04-21,0.897,0.8303
2016-04-22,0.916,0.8602
2016-04-23,0.8964,0.8272
2016-04-24,0.913,0.8496
2016-04-25,0.8918,0.8253
2016-04-26,0.9089,0.8453
2016-04-27,0.8871,0.818
2016-04-30,0.7798,0.6492
2016-05-03,0.8769,0.8103
2016-05-04,0.5641,0.4828
2016-05-06,0.8719,0.7984
2016-05-10,0.8909,0.823
2016-05-11,0.871,0.7988
2016-05-12,0.8856,0.8162
2016-05-20,0.8349,0.7771
2016-05-21,0.9187,0.8411
2016-05-26,0.8230157494544983,0.790316104888916
2016-05-29,0.8778,0.7973
2016-05-30,0.6481,0.4796
2016-05-31,0.8534,0.762
2016-06-02,0.8976,0.7149
2016-06-03,0.6338,0.4092
2016-06-04,0.5546,0.3026
2016-06-05,0.4873,0.3014
2016-06-06,0.3435,0.1368
2016-06-07,0.1745,0.0788
2016-06-08,0.2896,0.1349
2016-06-09,0.3181,0.1782
2016-06-10,0.1617,0.0567
2016-06-12,0.3036,0.1856
2016-06-13,0.2456,0.131
2016-06-14,0.273,0.1426
2016-06-21,0.2207,0.144
2016-06-23,0.1499,0.0901
2016-06-24,0.2444,0.1653
2016-06-25,0.2531,0.1751
2016-06-27,0.2314,0.1546
2016-06-28,0.207,0.1341
2016-06-30,0.2704,0.1879
2016-07-01,0.2044,0.1524
2016-07-02,0.2369,0.1905
2016-07-03,0.1746,0.1102
2016-07-04,0.1695,0.1248
2016-07-05,0.1466,0.1192
2016-07-06,0.0503,0.0322
2016-07-07,0.0546,0.0337
2016-07-08,0.046,0.0173
2016-07-09,0.1975,0.1511
2016-07-11,0.1658,0.1265
2016-07-12,0.2193,0.1653
2016-07-13,0.0871,0.0562
2016-07-18,-0.0054,-0.0031
2016-07-19,0.0397,0.0352
2016-07-20,0.0262,0.0147
2016-07-21,-0.0007,-0.0027
2016-07-22,0.0272,0.0135
2016-07-24,-0.01,-0.01
2016-07-26,-0.0018,-0.0037
2016-07-29,0.3355,0.3423
2016-07-30,0.0036,0.0003
2016-08-01,0.101,0.0658
2016-08-02,-0.0025,-0.0002
2016-08-03,0.0018,0.0001
2016-08-05,0.311,0.3193
2016-08-06,-0.0025,-0.0035
2016-08-07,0.0014,-0.0007
2016-08-08,0.0025,-0.0002
2016-08-09,0.0146,0.0096
2016-08-11,0.0016,0.0004
2016-08-14,0.0029,0.0002
2016-08-19,0.0033,0.0026
2016-08-20,-0.0031,-0.0009
2016-08-21,0.0056,0.0055
2016-08-23,0.0033,-0.0002
2016-08-25,-0.01,-0.01
2016-09-01,-0.0031,-0.0001
2016-09-03,0.0027,0.0
2016-09-14,0.0404,0.0364
2016-09-20,0.002,-0.0006
2016-09-22,0.0213,0.0174
2016-10-17,0.29797303676605225,0.31333935260772705
2016-10-24,0.2251,0.1995
2016-10-29,0.3918,0.3465
2016-11-02,0.270201712846756,0.24863389134407043
