system:time_start,B1,B2
2018-02-04,0.4829,0.3655
2018-02-06,0.6569,0.519
2018-02-09,0.6018,0.4778
2018-02-12,0.6448,0.5429
2018-02-14,0.6758,0.5759
2018-02-20,0.7882,0.7047
2018-02-21,0.6941,0.6081
2018-02-24,0.4912,0.4077
2018-02-25,0.7816,0.7171
2018-02-28,0.7116,0.6433
2018-03-01,0.7493,0.6768
2018-03-09,0.7772,0.7058
2018-03-17,0.812,0.7392
2018-03-20,0.6649115085601807,0.6927387118339539
2018-03-22,0.8493,0.7786
2018-03-23,0.8297,0.7638
2018-03-24,0.8187,0.7567
2018-03-28,0.8786,0.8303
2018-03-30,0.8736,0.8096
2018-04-05,0.8371,0.7785
2018-04-08,0.8418,0.7857
2018-04-09,0.8929,0.8318
2018-04-11,0.8788,0.8077
2018-04-12,0.8735,0.8069
2018-04-15,0.8515,0.7916
2018-04-16,0.8596,0.7972
2018-04-19,0.8595,0.8038
2018-04-20,0.8673,0.8048
2018-04-21,0.8733,0.8116
2018-04-22,0.875,0.8014
2018-04-24,0.9001,0.8332
2018-04-26,0.8651,0.8134
2018-04-27,0.8772,0.8097
2018-04-29,0.8724,0.8118
2018-04-30,0.8061256408691406,0.7971212863922119
2018-05-01,0.9009,0.8319
2018-05-04,0.885,0.817
2018-05-05,0.8931,0.8286
2018-05-06,0.9058,0.8338
2018-05-07,0.8335338234901428,0.8240691423416138
2018-05-11,0.8753,0.8148
2018-05-13,0.8987,0.832
2018-05-17,0.8932,0.8215
2018-05-18,0.8786,0.8177
2018-05-19,0.8824,0.8246
2018-05-27,0.898,0.8217
2018-05-28,0.9564,0.8835
2018-05-31,0.9048,0.8494
2018-06-04,0.887,0.8191
2018-06-05,0.9255,0.8359
2018-06-06,0.9177,0.8349
2018-06-08,0.7301,0.6183
2018-06-09,0.7622,0.6262
2018-06-13,0.2549,0.2459
2018-06-16,0.0731,0.0796
2018-06-17,0.1862911581993103,0.2213127613067627
2018-06-18,0.0954,0.1114
2018-06-20,0.0856,0.1521
2018-06-22,0.0925,0.175
2018-06-23,0.1225,0.1888
2018-06-27,0.0861,0.1609
2018-06-28,0.1121,0.1658
2018-07-01,0.0865,0.1592
2018-07-02,0.104,0.1727
2018-07-03,0.1086,0.1903
2018-07-06,0.151,0.2365
2018-07-08,0.1367,0.2032
2018-07-11,0.0591,0.1725
2018-07-14,0.149,0.1931
2018-07-15,0.0736,0.1762
2018-07-17,0.0533,0.1739
2018-07-18,0.0626,0.1809
2018-07-19,0.2273,0.2634
2018-07-20,0.104,0.229
2018-07-21,0.0719,0.2325
2018-07-22,0.0988,0.1908
2018-07-24,0.108,0.2155
2018-07-25,0.1174,0.2026
2018-07-26,0.0788,0.1951
2018-07-29,0.073,0.1862
2018-07-30,0.0595,0.1851
2018-07-31,0.0588,0.191
2018-08-04,0.1179,0.2939
2018-08-05,0.025,0.0874
2018-08-06,0.1528,0.2384
2018-08-08,0.0587,0.196
2018-08-15,0.0878,0.2294
2018-08-19,0.0869,0.0679
2018-08-20,0.2383,0.2617
2018-08-25,0.2372,0.2757
2018-08-31,0.1594,0.1546
2018-09-01,0.054,0.0797
2018-09-06,0.1782,0.2412
2018-09-07,0.2342,0.231
2018-09-20,0.6555,0.6511
2018-09-21,0.7263,0.685
2018-09-22,0.6207,0.5931
2018-09-26,0.3463,0.294
2018-10-09,0.621,0.5848
2018-10-10,0.6602,0.6248
2018-10-13,0.587,0.5465
2018-10-14,0.4619,0.3999
2018-10-15,0.4613,0.383
2018-10-20,0.358,0.3033
2018-10-23,0.5673670768737793,0.6025006771087646
2018-10-24,0.6257,0.5382
2018-10-30,0.4919447600841522,0.49319106340408325
2018-11-02,0.5076,0.3645
2018-11-03,0.4375,0.2897
