system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate,2000_phenology,2001_phenology,2002_phenology,2003_phenology,2004_phenology,2005_phenology,2006_phenology,2007_phenology,2008_phenology,2009_phenology,2010_phenology,2011_phenology,2012_phenology,2013_phenology,2014_phenology,2015_phenology,2016_phenology,2017_phenology,2018_phenology,2019_phenology,2020_phenology,2021_phenology,2022_phenology
02-01,,,,,,0.6202166666666666,,0.3546333333333333,0.4507444444444444,0.7103,,0.4336611111111111,0.3471388888888889,,0.463175,,0.5953444444444445,0.7675666666666667,,0.5600777777777778,,,,,,0.5845333333333333,,,0.6202166666666666,,0.3546333333333333,0.4507444444444444,0.7103,0.5482611111111111,0.4336611111111111,0.3471388888888889,0.7295537037037036,0.463175,0.5239847222222221,0.5953444444444445,0.7675666666666667,,0.5600777777777778,,,0.6888777777777777,,,,,,,,,,,,,,,,,,,,,,,
02-02,,0.3534555555555556,0.5845333333333333,,0.6666555555555556,,,0.5367666666666667,0.5839,0.5478777777777778,0.5244555555555556,0.8258,,0.5191,,0.640925,0.5393777777777778,0.8581166666666666,0.7437666666666667,0.8456222222222223,,,,,0.3534555555555556,0.5845333333333333,,0.6666555555555556,0.5828583333333333,,0.5367666666666667,0.5839,0.5478777777777778,0.5244555555555556,0.8258,0.3471388888888889,0.5191,0.463175,0.640925,0.5393777777777778,0.8581166666666666,0.7437666666666667,0.8456222222222223,,0.6991071428571429,0.6704629629629629,,,,,,,,,,,,,,,,,,,,,,,
02-03,,,,0.9031,0.4485666666666666,,,,0.8984933333333334,,,0.924,,0.8365,,,,,,0.8941666666666667,,0.8731,,,0.4012555555555555,0.6050104166666667,0.9031,0.4485666666666666,0.5672777777777778,0.7503014814814813,0.7096277777777777,0.8984933333333334,,0.5516152777777779,0.924,0.5009416666666666,0.8365,0.6275041666666668,0.6279783333333333,0.709038888888889,0.6602527777777778,,0.8941666666666667,,0.8731,0.6888777777777777,,,,,,,,,,,,,,,,,,,,,,,
02-04,,0.4490555555555555,0.6254875,0.4855444444444444,0.9281,0.5143388888888889,,0.8824888888888889,0.6126111111111111,,0.578775,0.5204,0.6547444444444445,0.8391833333333333,0.7918333333333334,,0.8787,0.4623888888888889,,0.9357444444444444,0.8638,,0.7149666666666666,,0.4490555555555555,0.6254875,0.4855444444444444,0.9281,0.5143388888888889,0.6665521296296295,0.8824888888888889,0.6126111111111111,0.5846611111111111,0.578775,0.5204,0.6547444444444445,0.8391833333333333,0.7918333333333334,0.7362875,0.8787,0.4623888888888889,0.6502777777777777,0.9357444444444444,0.8638,0.7609722222222222,0.7149666666666666,,,,,,,,,,,,,,,,,,,,,,,
02-05,,0.6561,,,0.8568833333333333,,0.85851,0.8893,0.7510454545454546,,,0.4440555555555555,,0.8462133333333334,,,0.8559833333333333,0.8196,0.5567888888888889,0.8538833333333333,,,,,0.6561,0.5855783333333333,,0.8568833333333333,0.6095222222222223,0.85851,0.8893,0.7510454545454546,0.640168888888889,0.5516152777777779,0.4440555555555555,0.6767472222222222,0.8462133333333334,0.7225925,0.6915691666666668,0.8559833333333333,0.8196,0.5567888888888889,0.8538833333333333,,0.7609722222222222,0.6888777777777777,,,,,,,,,,,,,,,,,,,,,,,
02-06,,,,,,,0.8547944444444444,,0.8237,0.6214444444444445,,0.68225,,,,0.83165,0.5159722222222223,,,0.9213666666666668,,0.6488444444444444,0.6627888888888889,,0.6561,0.5794493055555555,0.7348703703703704,0.5949305555555555,0.7047055555555556,0.8547944444444444,0.8654888888888889,0.8237,0.6214444444444445,0.578775,0.68225,0.6547444444444445,0.8253344444444445,0.8407611111111111,0.83165,0.5159722222222223,0.7180808333333333,0.615267361111111,0.9213666666666668,0.8523111111111111,0.6488444444444444,0.6627888888888889,,,,,,,,,,,,,,,,,,,,,,,
02-07,,,,,0.3329777777777777,0.7047055555555556,0.3146277777777778,0.8416777777777777,0.4947944444444444,0.7990111111111111,0.4220888888888889,0.58831,0.69875,0.8044555555555556,,0.44295,,,,0.8706,,,,,0.6785166666666667,0.6597140277777778,0.7098637037037037,0.3329777777777777,0.7047055555555556,0.3146277777777778,0.8416777777777777,0.4947944444444444,0.7990111111111111,0.4220888888888889,0.58831,0.69875,0.8044555555555556,0.7742030555555555,0.44295,0.6830916666666667,0.8225875,0.6035972222222222,0.8706,0.7866597916666667,0.6935622222222222,0.7660666666666667,,,,,,,,,,,,,,,,,,,,,,,
02-08,,0.6785166666666667,0.5334111111111111,,,0.8489944444444444,,0.9062,,0.64785,0.7923222222222223,0.8576266666666666,0.3738777777777778,0.8395166666666667,0.8896888888888889,0.8060333333333334,0.8502111111111111,,,0.8580611111111112,0.8408222222222222,,0.8693444444444445,,0.6785166666666667,0.5334111111111111,0.7348703703703704,0.5949305555555555,0.8489944444444444,0.5828027777777778,0.9062,0.7154,0.64785,0.7923222222222223,0.8576266666666666,0.3738777777777778,0.8395166666666667,0.8896888888888889,0.8060333333333334,0.8502111111111111,0.8189319444444445,0.6389588888888889,0.8580611111111112,0.8408222222222222,0.6486222222222222,0.8693444444444445,,,,,,,,,,,,,,,,,,,,,,,
02-09,,0.6922875,,0.8159666666666667,,,0.8509777777777777,0.5634,,,,0.7975333333333333,0.8507833333333333,0.5360666666666667,,0.6686000000000001,0.8794833333333333,0.825575,0.6504055555555556,,0.64673125,,0.8413444444444445,,0.6922875,0.6978777777777778,0.8159666666666667,0.675,0.8415472222222222,0.8509777777777777,0.5634,0.7154,0.6795544444444446,0.578775,0.7975333333333333,0.8507833333333333,0.5360666666666667,0.7461402777777777,0.6686000000000001,0.8794833333333333,0.825575,0.6504055555555556,0.8580611111111112,0.64673125,0.7442155555555556,0.8413444444444445,,,,,,,,,,,,,,,,,,,,,,,
02-10,,,0.8623444444444445,,0.8429333333333333,0.8341,0.717625,0.8583416666666667,0.7154,,,,,0.4026583333333333,0.6025916666666666,0.7951705882352941,0.8573000000000001,0.816875,,,,0.6484,0.70062,,0.7823770833333333,0.8623444444444445,0.82808,0.8429333333333333,0.8341,0.717625,0.8583416666666667,0.7154,0.6591055555555556,0.6940561111111112,0.7628222222222223,0.7677555555555555,0.4026583333333333,0.6025916666666666,0.7951705882352941,0.8573000000000001,0.816875,0.678136111111111,0.8580611111111112,0.7296343750000001,0.6484,0.70062,,,,,,,,,,,,,,,,,,,,,,,
