system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate,2000_phenology,2001_phenology,2002_phenology,2003_phenology,2004_phenology,2005_phenology,2006_phenology,2007_phenology,2008_phenology,2009_phenology,2010_phenology,2011_phenology,2012_phenology,2013_phenology,2014_phenology,2015_phenology,2016_phenology,2017_phenology,2018_phenology,2019_phenology,2020_phenology,2021_phenology,2022_phenology
06-12,0.8040444444444445,0.7853111111111111,0.7366222222222222,,0.5035,0.55794375,0.6592,0.2665666666666667,0.4678,0.6326222222222222,0.8078176470588235,0.4484687499999999,0.3964055555555555,0.4457,0.4127333333333333,,0.6884944444444444,,0.4002777777777778,,0.7944,0.6909388888888889,0.6815,0.8040444444444445,0.7853111111111111,0.7366222222222222,0.7904111111111112,0.5035,0.55794375,0.6592,0.2665666666666667,0.4678,0.6326222222222222,0.8078176470588235,0.4484687499999999,0.3964055555555555,0.4457,0.4127333333333333,0.7194555555555555,0.6884944444444444,0.5892499999999999,0.4002777777777778,0.4742688888888889,0.7944,0.6909388888888889,0.6815,,,,,,,,,,,,PO,,,,,,,,,,,
06-13,0.7424777777777778,0.8076,0.6494111111111112,0.7756444444444445,,0.5762777777777778,0.6454555555555556,,,0.7845529411764706,0.7688888888888888,0.2528375,,0.4059333333333333,0.4222764705882353,,0.4297555555555555,,0.6292764705882353,,0.7796611111111111,0.6926,0.7271666666666666,0.7424777777777778,0.8076,0.6494111111111112,0.7756444444444445,0.4599999999999999,0.5762777777777778,0.6454555555555556,0.3990190476190476,0.3481428571428571,0.7845529411764706,0.7688888888888888,0.2528375,0.4472151176470588,0.4059333333333333,0.4222764705882353,0.6058944444444444,0.4297555555555555,0.3836,0.6292764705882353,0.3953277777777777,0.7796611111111111,0.6926,0.7271666666666666,,,,,,,,,,,,,,,,,,,,,,,
06-14,,0.8475,0.5724,0.6561222222222223,0.4165,,,0.5314714285714286,,0.7664111111111112,0.69875,,,0.3888722222222222,,0.4729833333333333,0.4817777777777778,0.2021888888888889,0.6179777777777777,,0.8118055555555556,0.6957055555555556,0.6491944444444444,0.6189111111111112,0.8475,0.5724,0.6561222222222223,0.4165,0.5080888888888889,0.469911111111111,0.5314714285714286,0.4678,0.7664111111111112,0.69875,0.3265909722222222,0.3435916666666666,0.3888722222222222,0.5919058823529412,0.4729833333333333,0.4817777777777778,0.2021888888888889,0.6179777777777777,0.3896222222222222,0.8118055555555556,0.6957055555555556,0.6491944444444444,,,,,,,,,,,,,,,,,,,,,,,
06-15,0.4953444444444445,0.6351444444444444,,0.3559166666666666,0.7384071428571429,0.4399,0.2943666666666666,0.5547333333333333,0.3373666666666666,,0.6771944444444444,0.4003444444444444,,0.3177166666666666,0.7615352941176471,0.6058944444444444,0.4560111111111111,0.3836,0.5792944444444444,0.4448777777777777,0.67985,,,0.4953444444444445,0.6351444444444444,0.5838444444444444,0.3559166666666666,0.7384071428571429,0.4399,0.2943666666666666,0.5547333333333333,0.3373666666666666,0.7664111111111112,0.6771944444444444,0.4003444444444444,0.29989,0.3177166666666666,0.7615352941176471,0.6058944444444444,0.4560111111111111,0.3836,0.5792944444444444,0.4448777777777777,0.67985,0.6154394444444444,0.683075,,,,,,,,,,,,,,,,,PD,,,,,,
06-16,0.8160428571428572,,0.5952888888888889,0.6248555555555555,0.2627166666666666,,0.4194388888888888,,0.6243888888888889,,0.6033055555555555,0.3231777777777778,0.2907777777777778,0.3318222222222222,0.7055777777777777,0.6786666666666666,0.4339888888888888,,0.5377285714285714,0.3955777777777778,0.6425722222222222,,0.7169555555555556,0.8160428571428572,,0.5952888888888889,0.6248555555555555,0.2627166666666666,0.4399,0.4194388888888888,0.5547333333333333,0.6243888888888889,0.73145,0.6033055555555555,0.3231777777777778,0.2907777777777778,0.3318222222222222,0.7055777777777777,0.6786666666666666,0.4339888888888888,0.3997611111111111,0.5377285714285714,0.3955777777777778,0.6425722222222222,0.5645527777777778,0.7169555555555556,,,,,,,PO,,,,,,,,,,,,,,,,
06-17,0.7169555555555556,,0.5176555555555555,0.5785666666666667,0.7200333333333333,,0.3986,,,0.73145,0.6154222222222222,,0.2509166666666667,,0.68058,0.5373555555555556,0.3226166666666666,0.4159222222222222,,0.36655,0.6174222222222222,,0.6410388888888889,0.7169555555555556,,0.5176555555555555,0.5785666666666667,0.7200333333333333,0.3054722222222221,0.3986,0.5850909090909091,0.3377875,0.73145,0.6154222222222222,0.3462166666666666,0.2509166666666667,0.3318222222222222,0.68058,0.5373555555555556,0.3226166666666666,0.4159222222222222,0.5377285714285714,0.36655,0.6174222222222222,0.4914688888888888,0.6410388888888889,,,,,,,,,,,,,,,,,,,,,,,
06-18,,,,0.5240833333333333,,0.2406666666666666,0.3098777777777777,0.7451111111111112,,0.6521555555555556,0.6070944444444444,0.3692555555555555,,,0.6448555555555555,0.4439555555555555,0.4147666666666667,0.5202777777777778,,,0.65125,0.4334,0.6156611111111111,0.5134277777777778,,0.5176555555555555,0.5240833333333333,0.6862611111111111,0.2406666666666666,0.3098777777777777,0.7451111111111112,0.3377875,0.6521555555555556,0.6070944444444444,0.3692555555555555,0.2177583333333333,0.3318222222222222,0.6448555555555555,0.4439555555555555,0.4147666666666667,0.5202777777777778,0.4264666666666666,0.4018166666666666,0.65125,0.4334,0.6156611111111111,,,,,,,,,,,,,,PO,,,,,,,,,
06-19,0.3099,,,0.4333777777777778,,,0.3218416666666666,0.5850909090909091,0.3377875,0.5957888888888889,0.5243111111111112,0.2924666666666666,0.1846,0.466625,,0.45035,0.3876888888888889,0.2734666666666666,0.4264666666666666,0.4370833333333333,0.5291666666666667,0.3651722222222222,0.5365388888888889,0.3099,,0.4064555555555555,0.4333777777777778,0.6862611111111111,0.3054722222222221,0.3218416666666666,0.5850909090909091,0.3377875,0.5957888888888889,0.5243111111111112,0.2924666666666666,0.1846,0.466625,0.5723694444444444,0.45035,0.3876888888888889,0.2734666666666666,0.4264666666666666,0.4370833333333333,0.5291666666666667,0.3651722222222222,0.5365388888888889,,,,,,,,,,,,,,,,,,,,,,,
06-20,0.5116777777777778,,0.1979571428571428,,0.6862611111111111,0.3702777777777777,0.3883333333333333,0.6468222222222222,0.0732,0.59441,0.4166444444444444,0.3920444444444444,0.1174,0.2904625,0.4998833333333333,0.3769666666666666,0.3996272727272727,0.5161111111111111,0.3664,0.3099111111111111,0.5765,,0.5053222222222222,0.5116777777777778,,0.1979571428571428,0.3731222222222222,0.6862611111111111,0.3702777777777777,0.3883333333333333,0.6468222222222222,0.0732,0.59441,0.4166444444444444,0.3920444444444444,0.1174,0.2904625,0.4998833333333333,0.3769666666666666,0.3996272727272727,0.5161111111111111,0.3664,0.3099111111111111,0.5765,0.3985138888888888,0.5053222222222222,,,,,,,,,,,,,,,,,,,,,,,
06-21,0.4303444444444444,,0.4064555555555555,0.3128666666666667,,0.3706222222222222,0.3373666666666666,0.4030333333333333,0.2176666666666666,,0.4539833333333333,0.3724444444444444,,0.4657111111111111,0.48915,0.2628111111111111,0.40782,0.4705833333333333,,0.4508555555555555,,0.4318555555555555,0.3416166666666667,0.4303444444444444,,0.4064555555555555,0.3128666666666667,0.5706194444444443,0.3706222222222222,0.3373666666666666,0.4030333333333333,0.2176666666666666,0.59441,0.4539833333333333,0.3724444444444444,0.216225,0.4657111111111111,0.48915,0.2628111111111111,0.40782,0.4705833333333333,0.4347722222222222,0.4508555555555555,0.5291666666666667,0.4318555555555555,0.3416166666666667,,,,,,,,,,,,,,,,,,,,,,,
