Year,MO,OW,FO
2000,153,209,286.0
2001,147,205,285.0
2002,153,208,
2003,143,207,
2004,158,221,285.0
2005,143,209,
2006,140,206,272.0
2007,146,211,
2008,146,208,286.0
2009,145,204,286.0
2010,157,204,
2011,150,203,287.0
2012,144,211,
2013,148,213,279.0
2014,147,,277.0
2015,151,,
2016,150,206,287.0
2017,,201,287.0
2018,,203,274.0
2019,138,215,
2020,149,206,271.0
2021,153,204,
