Year,MO,OW,FO
2000,153,202,
2001,,196,
2002,129,197,
2003,135,180,264.0
2004,150,207,
2005,143,197,
2006,123,195,
2007,145,187,
2008,,186,
2009,134,192,
2010,,183,
2011,133,196,
2012,138,190,
2013,147,199,
2015,,195,
2016,152,191,
2017,,203,
2018,,198,
2020,,199,
2021,,185,
