Year,MO,OW,FO
2000,155.0,215.0,270.0
2001,145.0,203.0,264.0
2002,,217.0,261.0
2003,155.0,230.0,270.0
2004,163.0,223.0,280.0
2005,154.0,224.0,255.0
2006,143.0,207.0,
2007,147.0,211.0,
2008,142.0,,280.0
2009,151.0,215.0,264.0
2010,148.0,211.0,
2011,144.0,200.0,275.0
2012,144.0,211.0,274.0
2013,143.0,205.0,287.0
2014,148.0,224.0,274.0
2015,143.0,211.0,269.0
2016,150.0,216.0,
2017,137.0,202.0,279.0
2018,149.0,,
2019,136.0,214.0,286.0
2020,150.0,216.0,
2021,154.0,231.0,
