Year,MO,OW,FO
2000,155,,
2001,149,205,
2002,154,214,
2003,145,206,
2004,,209,
2005,147,209,
2006,,209,
2007,151,213,
2008,149,208,
2009,147,199,
2010,136,197,
2011,144,214,
2012,147,199,
2013,143,209,
2014,153,,
2015,160,,
2016,155,206,
2017,,217,
2018,151,205,
2019,138,196,275.0
2020,152,203,
2021,146,,
