Year,MO,OW,FO
2000,149,197,289.0
2001,,,282.0
2002,147,198,
2003,,200,
2004,141,201,277.0
2005,137,192,277.0
2006,128,,
2007,148,195,295.0
2008,129,202,
2009,141,205,279.0
2010,136,192,
2011,133,198,293.0
2012,150,188,
2013,131,186,
2014,123,193,292.0
2015,120,190,286.0
2016,133,191,
2017,126,191,
2018,140,196,288.0
2019,139,,290.0
2020,140,,295.0
2021,136,196,
