Year,MO,OW,FO
2000,108.0,161.0,
2001,117.0,163.0,
2002,123.0,152.0,
2003,,136.0,
2004,115.0,155.0,
2005,,140.0,
2006,112.0,,
2007,,152.0,
2008,126.0,155.0,
2009,123.0,161.0,
2010,,116.0,
2011,,149.0,
2012,116.0,156.0,
2013,,129.0,248.0
2014,129.0,,
2015,,172.0,
2016,98.0,124.0,
2017,114.0,158.0,
2018,,158.0,
2019,114.0,145.0,
2020,95.0,155.0,
2021,104.0,139.0,
