Year,MO,OW,FO
2000,145,,
2001,165,,
2002,155,208.0,250.0
2004,163,,
2005,146,,
2006,162,,
2007,158,,
2008,157,,
2010,155,,
2011,153,,
2012,151,,
2013,151,,
2015,156,,
2016,148,,
2019,148,,238.0
2021,148,,
