Year,MO,OW,FO
2000,144.0,200,264.0
2001,151.0,187,273.0
2002,153.0,192,279.0
2003,137.0,196,
2004,144.0,194,280.0
2005,134.0,174,272.0
2006,124.0,187,
2007,144.0,177,
2008,139.0,189,
2009,146.0,186,265.0
2010,133.0,180,
2011,137.0,169,
2012,136.0,182,251.0
2013,138.0,160,
2014,150.0,185,
2015,124.0,206,
2016,,173,
2017,125.0,168,
2018,144.0,196,281.0
2019,143.0,190,
2020,151.0,184,
2021,150.0,176,272.0
