Year,MO,OW,FO
2000,130.0,165,
2001,120.0,145,
2002,112.0,159,
2003,102.0,,271.0
2004,88.0,160,
2005,96.0,161,
2006,79.0,,
2007,79.0,128,
2008,121.0,189,
2009,119.0,153,
2010,115.0,,
2011,86.0,,
2012,78.0,,
2013,113.0,,
2014,121.0,175,
2015,124.0,163,
2016,96.0,,
2017,112.0,172,
2018,,177,
2019,98.0,,
2020,67.0,167,
2021,133.0,158,304.0
