MO,OW,FO,Year
149,,240.0,2000
,,,2001
141,,,2002
145,212.0,253.0,2003
144,,,2004
140,205.0,258.0,2005
148,225.0,,2006
148,,,2007
153,,,2008
143,,250.0,2009
146,,,2010
145,,,2011
142,,257.0,2012
151,,,2013
153,,,2014
145,,,2015
147,219.0,,2016
156,,,2017
144,,257.0,2018
139,213.0,248.0,2019
143,206.0,,2020
148,220.0,,2021
