MO,OW,FO,Year
158.0,,,2000
142.0,,,2002
116.0,,,2003
99.0,,,2004
,253,268.0,2006
151.0,250,,2007
,244,283.0,2008
,252,,2010
,238,285.0,2011
120.0,257,274.0,2012
,,,2013
,253,,2014
,237,273.0,2015
,246,285.0,2016
144.0,252,,2017
126.0,231,,2019
153.0,249,,2020
147.0,,,2021
