Year,MO,OW,FO
2000,,193.0,293
2001,128.0,185.0,297
2002,,,288
2003,123.0,190.0,290
2004,159.0,209.0,
2005,132.0,193.0,302
2006,147.0,184.0,298
2007,141.0,192.0,294
2008,125.0,187.0,292
2009,,201.0,284
2010,152.0,196.0,301
2011,143.0,,299
2012,152.0,188.0,286
2013,153.0,,290
2014,,189.0,293
2015,148.0,199.0,288
2016,155.0,183.0,293
2017,129.0,183.0,282
2018,,198.0,
2019,138.0,204.0,294
2020,156.0,195.0,291
2021,,182.0,
