Year,MO,OW,FO
2000,150.0,197.0,276.0
2001,,199.0,
2002,153.0,,
2003,146.0,219.0,
2004,149.0,221.0,
2005,139.0,208.0,
2006,133.0,200.0,
2007,146.0,,251.0
2008,138.0,212.0,
2009,145.0,207.0,265.0
2010,143.0,198.0,
2011,138.0,192.0,
2012,139.0,205.0,
2013,140.0,204.0,272.0
2014,150.0,219.0,
2015,149.0,210.0,258.0
2016,148.0,199.0,247.0
2017,146.0,204.0,
2018,146.0,210.0,275.0
2019,136.0,209.0,266.0
2020,146.0,195.0,
2021,143.0,203.0,
