Year,MO,OW,FO
2000,144.0,197,305.0
2001,117.0,184,320.0
2002,140.0,196,303.0
2003,123.0,177,307.0
2004,143.0,205,303.0
2005,130.0,193,317.0
2006,133.0,182,310.0
2007,144.0,198,306.0
2008,,189,315.0
2009,,198,315.0
2010,143.0,194,
2011,133.0,189,305.0
2012,136.0,185,309.0
2013,140.0,190,308.0
2014,,187,
2015,137.0,195,306.0
2016,127.0,189,324.0
2017,122.0,186,296.0
2018,141.0,194,303.0
2019,139.0,202,307.0
2020,145.0,193,303.0
2021,136.0,192,313.0
