Year,MO,OW,FO
2000,145,,
2001,149,198,
2002,148,223,270.0
2003,147,212,
2004,144,210,282.0
2005,133,202,
2006,132,185,282.0
2007,142,186,
2008,151,179,260.0
2009,145,208,278.0
2010,140,180,
2011,152,185,271.0
2012,132,187,
2013,141,196,
2014,147,192,
2015,132,,
2016,136,193,
2017,127,186,
2018,147,196,
2019,147,,
2020,149,,
2021,143,212,
