Year,MO,OW,FO
2000,157,214,275.0
2001,145,205,281.0
2002,148,213,275.0
2003,153,223,289.0
2004,155,226,278.0
2005,151,218,268.0
2006,139,201,286.0
2007,151,212,288.0
2008,143,209,290.0
2009,158,223,270.0
2010,151,208,
2011,145,203,282.0
2012,143,211,289.0
2013,140,204,288.0
2014,138,218,286.0
2015,145,220,275.0
2016,148,202,290.0
2017,133,202,276.0
2018,149,210,275.0
2019,140,238,287.0
2020,155,209,
2021,153,219,
