Year,MO,OW,FO
2000,148,,
2001,143,,
2002,142,191.0,
2004,138,196.0,
2005,141,191.0,
2006,130,185.0,
2007,151,,292.0
2008,,186.0,314.0
2009,147,,
2010,137,185.0,
2011,147,,
2012,142,195.0,
2013,146,202.0,
2014,142,,
2015,146,,
2016,140,199.0,
2017,139,186.0,
2018,,,309.0
2019,,175.0,
2020,147,191.0,
2021,,187.0,
